id,group,question,gold_answer,required_facts,gold_evidence_groups,top_k,topk_ids,direct_hit_at_k,expanded_ids,bundle_ids,final_evidence_hit,recovered_by_expansion,bot_answer,answer_accuracy,pipeline_ms,generation_ms,total_ms,error
E01,Exact/Table,Lớp CT219-01 bị xóa ở đợt 1 HK1 2025-2026 là học phần gì?,Xử lý ngôn ngữ tự nhiên.,"[""course_name=Xử lý ngôn ngữ tự nhiên""]","[{""name"":""primary_evidence"",""any_of"":[""Xoalop_HK1_2025_2026_dot1_doc_2_muc_0_bang_1_dong_50""]}]",6,"[""Xoalop_HK1_2025_2026_dot1_doc_2_muc_0_bang_1_dong_50""]",1,"[""Xoalop_HK1_2025_2026_dot1_doc_2_muc_0""]","[""Xoalop_HK1_2025_2026_dot1_doc_2_muc_0_bang_1_dong_50"",""Xoalop_HK1_2025_2026_dot1_doc_2_muc_0""]",1,0,Lớp CT219-01 bị xóa là học phần Xử lý ngôn ngữ tự nhiên.,,515,14062.6,14577.7,UNGRADED
E02,Exact/Table,Lớp CT182-06 bị xóa ở đợt 2 HK1 năm học 2025-2026 do giảng viên nào phụ trách?,Phạm Thị Xuân Lộc (mã số CBGD 700556).,"[""lecturer_name=Phạm Thị Xuân Lộc"",""lecturer_id=700556""]","[{""name"":""primary_evidence"",""any_of"":[""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0_bang_1_dong_3""]}]",6,"[""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0_bang_1_dong_3""]",1,"[""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0""]","[""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0_bang_1_dong_3"",""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0""]",1,0,Lớp CT182-06 bị xóa do giảng viên phụ trách là Bà Phạm Thị Xuân Lộc.,,352.5,16007.7,16360.2,UNGRADED
E03,Exact/Table,Lớp CT298-01 bị xóa trong HK2 2025-2026 có bao nhiêu tín chỉ và do ai giảng dạy?,3 tín chỉ; giảng viên Trần Nguyễn Minh Thái (mã số CBGD 02226).,"[""credits=3"",""lecturer_name=Trần Nguyễn Minh Thái"",""lecturer_id=02226""]","[{""name"":""primary_evidence"",""any_of"":[""Xoalop_HK2_2025_2026_doc_2_muc_0_bang_1_dong_10""]}]",6,"[""Xoalop_HK2_2025_2026_doc_2_muc_0_bang_1_dong_10""]",1,"[""Xoalop_HK2_2025_2026_doc_2_muc_0""]","[""Xoalop_HK2_2025_2026_doc_2_muc_0_bang_1_dong_10"",""Xoalop_HK2_2025_2026_doc_2_muc_0""]",1,0,Lớp CT298-01 bị xóa có 3 tín chỉ và do giảng viên Trần Nguyễn Minh Thái phụ trách.,,455.3,17034.1,17489.5,UNGRADED
E04,Exact/Table,Lớp CT112H-M01 bị xóa trong HK3 năm học 2025-2026 là học phần nào?,Phân tích và thiết kế hệ thống.,"[""course_name=Phân tích và thiết kế hệ thống""]","[{""name"":""primary_evidence"",""any_of"":[""Xoalop_HK3_2025_2026_doc_2_muc_0_bang_1_dong_3""]}]",6,"[""Xoalop_HK3_2025_2026_doc_2_muc_0_bang_1_dong_3""]",1,"[""Xoalop_HK3_2025_2026_doc_2_muc_0""]","[""Xoalop_HK3_2025_2026_doc_2_muc_0_bang_1_dong_3"",""Xoalop_HK3_2025_2026_doc_2_muc_0""]",1,0,"Lớp CT112H-M01 bị xóa là học phần ""Phân tích và thiết kế hệ thống"".",,259.4,16219.9,16479.3,UNGRADED
E05,Exact/Table,"Trong danh sách xóa lớp đợt 2 HK2 2024-2025, CT384-01 là học phần gì và có bao nhiêu tín chỉ?","Mạng nơ-ron nhân tạo, 3 tín chỉ.","[""course_name=Mạng nơ-ron nhân tạo"",""credits=3""]","[{""name"":""primary_evidence"",""any_of"":[""Xoalop_HK2_2024_2025_dot2_doc_2_muc_0_bang_1_dong_2""]}]",6,"[""Xoalop_HK2_2024_2025_dot2_doc_2_muc_0_bang_1_dong_2""]",1,"[""Xoalop_HK2_2024_2025_dot2_doc_2_muc_0""]","[""Xoalop_HK2_2024_2025_dot2_doc_2_muc_0_bang_1_dong_2"",""Xoalop_HK2_2024_2025_dot2_doc_2_muc_0""]",1,0,"Học phần CT384-01 là ""Mạng nơ-ron nhân tạo"" với 3 tín chỉ.",,278.1,17022.1,17300.2,UNGRADED
E06,Exact/Table,"MSSV B2400695 được chuyển từ lớp nào sang lớp nào, sang ngành gì và thuộc đơn vị nào?","Sinh viên Phan Thị Kim Hận, MSSV B2400695, chuyển từ lớp TS2413A2 sang lớp TS2482A1, ngành Công nghệ Chế biến thủy sản, thuộc Trường Thuỷ sản.","[""student_name=Phan Thị Kim Hận"",""student_id=B2400695"",""old_class=TS2413A2"",""new_class=TS2482A1"",""new_major=Công nghệ Chế biến thủy sản"",""new_unit=Trường Thuỷ sản""]","[{""name"":""primary_evidence"",""any_of"":[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0_bang_1_dong_61""]}]",6,"[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0_bang_1_dong_61""]",1,"[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0""]","[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0_bang_1_dong_61"",""ChuyenNganh10_2025.signed.signed_doc_2_muc_0""]",1,0,"Sinh viên B2400695 được chuyển từ lớp TS2413A2 sang lớp TS2482A1, ngành Công nghệ Chế biến thủy sản thuộc đơn vị Trường Thuỷ sản.",,411,21053.9,21464.9,UNGRADED
E07,Exact/Table,"MSSV B2405750 được chuyển từ lớp nào sang lớp nào, sang ngành gì và thuộc đơn vị nào?","Chuyển từ lớp TN24D5A1 sang lớp TN2484A1, ngành Kỹ thuật cơ khí (Chuyên ngành Cơ khí chế tạo máy), thuộc Trường Bách khoa.","[""old_class=TN24D5A1"",""new_class=TN2484A1"",""new_major=Kỹ thuật cơ khí (Chuyên ngành Cơ khí chế tạo máy)"",""new_unit=Trường Bách khoa""]","[{""name"":""primary_evidence"",""any_of"":[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0_bang_1_dong_20""]}]",6,"[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0_bang_1_dong_20""]",1,"[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0""]","[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0_bang_1_dong_20"",""ChuyenNganh10_2025.signed.signed_doc_2_muc_0""]",1,0,"Sinh viên B2405750 được chuyển từ lớp TN24D5A1 sang lớp TN2484A1, ngành Kỹ thuật cơ khí (Chuyên ngành Cơ khí chế tạo máy) thuộc Trường Bách khoa.",,352.9,21490.7,21843.6,UNGRADED
E08,Exact/Table,"MSSV B2404384 được chuyển đến lớp nào, ngành gì và thuộc đơn vị nào?","Chuyển đến lớp DA2408A3, ngành Công nghệ Thực phẩm, thuộc Viện Công Nghệ Sinh học và Thực phẩm.","[""new_class=DA2408A3"",""new_major=Công nghệ Thực phẩm"",""new_unit=Viện Công Nghệ Sinh học và Thực phẩm""]","[{""name"":""primary_evidence"",""any_of"":[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0_bang_1_dong_69""]}]",6,"[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0_bang_1_dong_69""]",1,"[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0""]","[""ChuyenNganh10_2025.signed.signed_doc_2_muc_0_bang_1_dong_69"",""ChuyenNganh10_2025.signed.signed_doc_2_muc_0""]",1,0,"Sinh viên có mã số B2404384 được chuyển đến lớp DA2408A3, ngành Công nghệ Thực phẩm thuộc Viện Công Nghệ Sinh học và Thực phẩm.",,290.9,18622.4,18913.3,UNGRADED
E09,Exact/Table,"K50 thuộc Nhóm đơn vị 6 bắt đầu ĐKHP đợt 1 lúc mấy giờ, ngày nào?",Lúc 13:30 ngày 05/08/2026.,"[""registration_time=13:30"",""registration_date=2026-08-05""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_16""]}]",6,"[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_16"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_9"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_7""]",1,"[""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_13"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_14"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_15"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_17"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_18"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_7"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_8"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_3"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_4"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_6"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_8""]","[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_16"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_9"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_7"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_13"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_14"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_15"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_17"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_18"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_7"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_8"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_3"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_4"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_6"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_8""]",1,0,K50 thuộc Nhóm đơn vị 6 bắt đầu đăng ký học phần đợt 1 lúc 13:30 ngày 05/8/2026.,,269.1,33536.7,33805.8,UNGRADED
E10,Exact/Table,"Ở đợt 2 đăng ký học phần học kỳ 1 năm học 2026-2027, Khóa 51 thuộc Nhóm đơn vị 2 hoặc 4 bắt đầu đăng ký lúc nào?",Lúc 13:30 ngày 09/09/2026.,"[""registration_time=13:30"",""registration_date=2026-09-09""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_11""]}]",6,"[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_11"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_22"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_11""]",1,"[""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_10"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_12"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_19"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_20"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_21"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_23"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_24"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_9"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_10"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_12"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_13"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_14""]","[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_11"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_22"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_11"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_10"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_12"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_19"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_20"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_21"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_23"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_24"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_9"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_10"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_12"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_13"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_14""]",1,0,Khóa 51 thuộc Nhóm đơn vị 2 hoặc 4 bắt đầu đăng ký vào lúc 13:30 ngày 09/9/2026.,,335.7,33428.6,33764.3,UNGRADED
S01,Semantic,"Nếu lớp đã đăng ký bị xóa sau đợt 1 của học kỳ 1 năm học 2025-2026, sinh viên có những phương án xử lý nào?","Sinh viên có thể chuyển kế hoạch học tập sang học kỳ tiếp theo, đăng ký vào lớp học phần còn lại, hoặc đăng ký học phần khác thay thế trong đợt 2 từ 08/09/2025 đến 14/09/2025.","[""option_1=chuyển kế hoạch học tập sang học kỳ tiếp theo"",""option_2=đăng ký lớp học phần còn lại"",""option_3=đăng ký học phần khác thay thế"",""round_2_period=2025-09-08..2025-09-14""]","[{""name"":""primary_evidence"",""any_of"":[""Xoalop_HK1_2025_2026_dot1_doc_1_muc_0""]}]",6,"[""Xoalop_HK1_2025_2026_dot2_doc_1_muc_0"",""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0_bang_1_dong_32"",""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0"",""KHGDVDKHP_HK1_25_26_doc_1_muc_1"",""Xoalop_HK1_2025_2026_dot1_doc_1_muc_0"",""Xoalop_HK1_2025_2026_dot1_doc_2_muc_0""]",1,"[""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0""]","[""Xoalop_HK1_2025_2026_dot2_doc_1_muc_0"",""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0_bang_1_dong_32"",""Xoalop_HK1_2025_2026_dot2_doc_2_muc_0"",""KHGDVDKHP_HK1_25_26_doc_1_muc_1"",""Xoalop_HK1_2025_2026_dot1_doc_1_muc_0"",""Xoalop_HK1_2025_2026_dot1_doc_2_muc_0""]",1,0,"Nếu lớp đã đăng ký bị xóa sau đợt 1, sinh viên có thể:
- Chuyển kế hoạch học tập sang học kỳ tiếp theo.
- Đăng ký vào các lớp học phần còn lại hoặc đăng ký học phần khác thay thế trong đợt 2 từ ngày 08/09/2025 đến 14/09/2025.",,327.2,47073.8,47401,UNGRADED
S02,Semantic,"Sau khi lớp bị xóa ở đợt đăng ký cuối của học kỳ 2 năm học 2025-2026, sinh viên muốn đổi sang lớp khác thì phải làm gì?","Sinh viên phải liên hệ Phòng Đào tạo qua email `nhdnhan@ctu.edu.vn` để được hỗ trợ, chậm nhất đến hết ngày 08/01/2026. Sau thời hạn này, Trường sẽ chính thức xóa kết quả đăng ký.","[""contact_unit=Phòng Đào tạo"",""contact_email=nhdnhan@ctu.edu.vn"",""deadline=2026-01-08"",""after_deadline=Trường xóa kết quả đăng ký""]","[{""name"":""primary_evidence"",""any_of"":[""Xoalop_HK2_2025_2026_doc_1_muc_0""]}]",6,"[""Xoalop_HK2_2025_2026_doc_1_muc_0"",""Xoalop_HK2_2025_2026_doc_2_muc_0_bang_1_dong_4"",""KHGDVDKHP_HK2_25_26_doc_1_muc_1"",""Xoalop_HK2_2025_2026_doc_2_muc_0"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2_bang_2_dong_2"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2""]",1,"[""Xoalop_HK2_2025_2026_doc_2_muc_0"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2""]","[""Xoalop_HK2_2025_2026_doc_1_muc_0"",""Xoalop_HK2_2025_2026_doc_2_muc_0_bang_1_dong_4"",""KHGDVDKHP_HK2_25_26_doc_1_muc_1"",""Xoalop_HK2_2025_2026_doc_2_muc_0"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2_bang_2_dong_2"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2""]",1,0,Sinh viên cần liên hệ Phòng Đào tạo qua email nhdnhan@ctu.edu.vn để được hỗ trợ chuyển đổi sang các lớp học phần khác. Việc này chỉ được thực hiện từ ngày ra thông báo đến hết ngày 08/01/2026.,,469,41974.1,42443.1,UNGRADED
S03,Semantic,Sinh viên chưa nhập kế hoạch học tập học kỳ 1 năm học 2026-2027 có được bổ sung vào một lớp đã đủ sĩ số không?,"Không. Sinh viên được điều chỉnh kế hoạch và đăng ký trong thời gian quy định, nhưng nếu lớp học phần đã hết chỗ thì sẽ không được xem xét bổ sung.","[""supplement_when_class_full=false"",""reason=lớp học phần đã hết chỗ""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK1_26_27_doc_1_muc_1""]}]",6,"[""KHGDVDKHP_HK1_26_27_doc_1_muc_1"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0_bang_1_dong_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0"",""KHGDVDKHP_HK1_26_27_doc_1_muc_2"",""KHGDVDKHP_HK1_26_27_doc_2_muc_1""]",1,"[""KHGDVDKHP_HK1_26_27_doc_1_muc_0""]","[""KHGDVDKHP_HK1_26_27_doc_1_muc_1"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0_bang_1_dong_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0"",""KHGDVDKHP_HK1_26_27_doc_1_muc_2"",""KHGDVDKHP_HK1_26_27_doc_2_muc_1""]",1,0,"Không, sinh viên sẽ không được xem xét bổ sung vào các lớp đã hết chỗ trong thời gian nhập kế hoạch từ 08/8/2026 đến 16/8/2026.",,337.7,35119.1,35456.8,UNGRADED
S04,Semantic,"Trong HK1 2025-2026, sinh viên có thể đăng ký học phần bằng điện thoại hay phải dùng máy tính?","Sinh viên có thể đăng ký bằng điện thoại thông minh cá nhân qua ứng dụng MyCTUS, bằng máy tính cá nhân hoặc máy tính tại Trung tâm học liệu Trường.","[""registration_device_1=điện thoại thông minh cá nhân qua ứng dụng MyCTUS"",""registration_device_2=máy tính cá nhân"",""registration_device_3=máy tính tại Trung tâm học liệu Trường""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK1_25_26_doc_2_muc_4""]}]",6,"[""KHGDVDKHP_HK1_25_26_doc_2_muc_4"",""KHGDVDKHP_HK1_25_26_doc_1_muc_0_bang_1_dong_4"",""KHGDVDKHP_HK1_25_26_doc_1_muc_1"",""KHGDVDKHP_HK1_25_26_doc_1_muc_0"",""KHGDVDKHP_HK1_25_26_doc_2_muc_5"",""KHGDVDKHP_HK1_25_26_doc_2_muc_2_bang_1_dong_19""]",1,"[""KHGDVDKHP_HK1_25_26_doc_1_muc_0"",""KHGDVDKHP_HK1_25_26_doc_2_muc_2""]","[""KHGDVDKHP_HK1_25_26_doc_2_muc_4"",""KHGDVDKHP_HK1_25_26_doc_1_muc_0_bang_1_dong_4"",""KHGDVDKHP_HK1_25_26_doc_1_muc_1"",""KHGDVDKHP_HK1_25_26_doc_1_muc_0"",""KHGDVDKHP_HK1_25_26_doc_2_muc_5"",""KHGDVDKHP_HK1_25_26_doc_2_muc_2_bang_1_dong_19"",""KHGDVDKHP_HK1_25_26_doc_2_muc_2""]",1,0,Sinh viên có thể đăng ký học phần bằng điện thoại thông minh cá nhân qua ứng dụng MyCTUS hoặc máy tính cá nhân.,,264.9,29494.3,29759.2,UNGRADED
S05,Semantic,Thư viện Đại học Cần Thơ hỗ trợ sinh viên đăng ký học phần trực tuyến như thế nào?,Thư viện Đại học Cần Thơ cử cán bộ trực và mở cửa phòng máy phục vụ sinh viên đăng ký theo thời gian đã công bố.,"[""staffing=cử cán bộ trực"",""facility=mở cửa phòng máy phục vụ sinh viên đăng ký"",""availability=theo thời gian đăng ký đã công bố""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK1_26_27_doc_2_muc_5""]}]",6,"[""KHGDVDKHP_HK1_26_27_doc_2_muc_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_4"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0_bang_1_dong_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_0"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0"",""KHGDVDKHP_HK1_26_27_doc_2_muc_1""]",1,"[""KHGDVDKHP_HK1_26_27_doc_1_muc_0""]","[""KHGDVDKHP_HK1_26_27_doc_2_muc_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_4"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0_bang_1_dong_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_0"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0"",""KHGDVDKHP_HK1_26_27_doc_2_muc_1""]",1,0,Thư viện cử cán bộ trực mở cửa phòng máy để phục vụ sinh viên đăng ký học phần. Sinh viên có thể đăng ký qua ứng dụng MyCTUS hoặc máy tính tại thư viện theo thời gian quy định.,,239.1,35214.5,35453.6,UNGRADED
S06,Semantic,Hướng dẫn quy trình đánh giá DRL HK3 2024-2025 trực tuyến được đăng ở đâu?,Xem trên website Phòng Công tác Sinh viên tại https://dsa.ctu.edu.vn/images/upload/vbanply/2018/DRL/quytrinh_DRL_tructuyen.pdf.,"[""online_guide_url=https://dsa.ctu.edu.vn/images/upload/vbanply/2018/DRL/quytrinh_DRL_tructuyen.pdf""]","[{""name"":""primary_evidence"",""any_of"":[""DRL_HK3_2024_2025_doc_1_muc_2""]}]",6,"[""DRL_HK3_2024_2025_doc_1_muc_2"",""DRL_HK3_2024_2025_doc_1_muc_0"",""DRL_HK3_2024_2025_doc_1_muc_1_bang_1_dong_1"",""DRL_HK3_2024_2025_doc_1_muc_1""]",1,"[""DRL_HK3_2024_2025_doc_1_muc_1""]","[""DRL_HK3_2024_2025_doc_1_muc_2"",""DRL_HK3_2024_2025_doc_1_muc_0"",""DRL_HK3_2024_2025_doc_1_muc_1_bang_1_dong_1"",""DRL_HK3_2024_2025_doc_1_muc_1""]",1,0,Hướng dẫn quy trình đánh giá DRL trực tuyến được đăng trên website Phòng Công tác Sinh viên tại đường dẫn: https://dsa.ctu.edu.vn/images/upload/vbanply/2018/DRL/quytrinh_DRL_tructuyen.pdf.,,292.8,26478.4,26771.2,UNGRADED
S07,Semantic,"Nếu học phần sinh viên cần chưa được mở trong HK3 2025-2026, Nhà trường có mở lớp theo yêu cầu sinh viên không và hạn cuối là khi nào?","Có. Phòng Đào tạo phối hợp với đơn vị mở lớp học phần mới theo yêu cầu sinh viên, hạn cuối là ngày 17/04/2026.","[""new_class_support=PĐT phối hợp với đơn vị mở lớp HP mới theo yêu cầu SV"",""deadline=2026-04-17""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK3_25_26_doc_1_muc_0_bang_1_dong_4""]}]",6,"[""KHGDVDKHP_HK3_25_26_doc_1_muc_1"",""Xoalop_HK3_2025_2026_doc_1_muc_0"",""KHGDVDKHP_HK3_25_26_doc_1_muc_0_bang_1_dong_4"",""Xoalop_HK3_2025_2026_doc_2_muc_0_bang_1_dong_36"",""Xoalop_HK3_2025_2026_doc_2_muc_0"",""KHGDVDKHP_HK3_25_26_doc_2_muc_2""]",1,"[""KHGDVDKHP_HK3_25_26_doc_1_muc_0"",""Xoalop_HK3_2025_2026_doc_2_muc_0""]","[""KHGDVDKHP_HK3_25_26_doc_1_muc_1"",""Xoalop_HK3_2025_2026_doc_1_muc_0"",""KHGDVDKHP_HK3_25_26_doc_1_muc_0_bang_1_dong_4"",""Xoalop_HK3_2025_2026_doc_2_muc_0_bang_1_dong_36"",""Xoalop_HK3_2025_2026_doc_2_muc_0"",""KHGDVDKHP_HK3_25_26_doc_2_muc_2"",""KHGDVDKHP_HK3_25_26_doc_1_muc_0""]",1,0,"Có, Nhà trường mở lớp mới theo yêu cầu sinh viên. Hạn cuối để thực hiện việc này là ngày 17/4/2026.",,301.5,35052.9,35354.4,UNGRADED
S08,Semantic,"Trong kỳ nghỉ Tết 2025, nếu gặp vấn đề ở ký túc xá thì sinh viên liên hệ số nào?",Liên hệ Ký túc xá (Phòng Công tác Sinh viên) qua số (0292) 3872275.,"[""contact_unit=Ký túc xá (PCTSV)"",""contact_phone=(0292) 3872275""]","[{""name"":""primary_evidence"",""any_of"":[""Tet2025_doc_1_muc_3""]}]",6,"[""Tet2025_doc_1_muc_3"",""Tet2025_doc_1_muc_2"",""Tet2025_doc_1_muc_0"",""Tet2025_doc_1_muc_1"",""GioTo2025_doc_1_muc_0""]",1,[],"[""Tet2025_doc_1_muc_3"",""Tet2025_doc_1_muc_2"",""Tet2025_doc_1_muc_0"",""Tet2025_doc_1_muc_1"",""GioTo2025_doc_1_muc_0""]",1,0,Sinh viên liên hệ số (0292) 3872275 cho các vấn đề ở ký túc xá trong kỳ nghỉ Tết 2025.,,246.7,35052,35298.7,UNGRADED
